Name (Link to Data Catalog - Field Name),Link to Data Catalog,Field Order,Field Name,Field Key,Field ID,Field Type (Airtable),Options (JSON),Field Description,Field Purpose,Business Context,Source (Link To Field Mappings),Target (Link To Field Mappings),Format,Validation,Formula,Formula Dependencies (Link To Data Dictionary),Code Dependencies,Input Methods,Read/Write,Created Date,Belongs To Namespace (Link to Namespaces),Related Form Questions (Link To Form Questions),General Notes,Table ID (From Data Catalog),Base ID (From Data Catalog),Table Name (From Data Catalog),Base/Source Name (From Data Catalog),Options (Text),Field Type (Standardized),For Betafits API?,Record ID,Formatting Rules (Link To Formatting Rules),Rule Sets (Link To Rule Sets),Related Fields (Link To Data Dictionary),Schema Schemer Recommendation,Schemer Priority,Schemer Human Review,Schemer Notes,Field Name (From Data Dictionary),Schemer Reviewer Note,Description For AI,Link To Paperwork Field Types,Last Run,Current/Delete,Max Last Run (From Data Catalog),From field: Related Fields (Link To Data Dictionary),Link to Files,From field: Formula Dependencies (Link To Data Dictionary)
Forms - Intake - Group Data - Enr ES,Forms - Intake - Group Data,0,Enr ES,To be decided,fldZh2k84NgHxmSru,,,"A formula field that derives the company name based on a referenced field, used to dynamically generate company names within employee benefits records.",To automatically populate or display the company name in a standardized format derived from another field.,Used in employee benefits management to ensure consistent and accurate identification of companies associated with employee benefits records.,,"Default Value:  > Forms - Intake - Group Data - Enr ES - Intake Project,Default Value:  > Forms - Intake - Group Data - Enr ES - Intake Project,Default Value:  > Forms - Intake - Group Data - Enr ES - Intake Project,Default Value:  > Forms - Intake - Group Data - Enr ES - Forms > ROI Workbook",,,,,,,,5/19/2025 10:31pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,reczJKU28c71p4e1J,,,,Approved,Low,,Formula copies another field {fldqldunuuQ1dSQeh} which is 'Company Name' (text). This provides consistency and avoids duplicate data entry. No issues detected.,,,"A formula field that derives the company name based on a referenced field, used to dynamically generate company names within employee benefits records.",,,,,,,
Forms - Intake - Group Data - Medical Rating,Forms - Intake - Group Data,0,Medical Rating,first_name,fldk4jsQTLmLly72O,,,The given name of an employee used for identification purposes.,To capture the employee's first name for records and communication.,"Used in employee identification, personalization of benefits communication, and record management.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recNyw11UQGVovJHK,,,,Approved,High,,Important personal data field (PII). Ensure data protection and consistent validation.,,,The given name of an employee used for identification purposes.,,,,,,,
Forms - Intake - Group Data - Last Name,Forms - Intake - Group Data,0,Last Name,last_name,fld0ZztIXv8rN1Y5O,,,The family or surname of the employee or plan member.,"To identify the employee or plan member by their family name for records, communications, and reporting.","Used across employee benefits systems for identification, sorting, and matching of employee records.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recrKejkmuhpW88Ef,,,,Approved,High,,"PII field, critical to maintain data privacy and input quality.",,,The family or surname of the employee or plan member.,,,,,,,
Forms - Intake - Group Data - Company Name,Forms - Intake - Group Data,0,Company Name,company_name,fldqldunuuQ1dSQeh,,,The official name of the company or organization providing employee benefits services.,To identify the legal or commonly recognized name of the company in the benefits system.,"Used in employee benefits records, contracts, and communications to specify the company associated with the benefits.","Forms - Intake - Group Data - Company Name >  -  -  -  - Company Name - ,Forms - Intake - Group Data - Company Name >  -  -  -  - company_ name - ",,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recjg00uyfOK6bRMd,,,Transformation Engine - Paperwork Fields - Group Name,Approved,Critical,,"Primary text field for company name, critical for identification. Ensure data consistency and standardized input per data governance.",Group Name,,The official name of the company or organization providing employee benefits services.,,,,,,,
Forms - Intake - Group Data - Job Title,Forms - Intake - Group Data,0,Job Title,job_title,fldQpJCjK6vFmuD2K,,,"The official designation or position held by an employee within the organization, describing their role or job function.","To identify the role or position of an employee for organizational, payroll, benefits, and HR management purposes.","Vital for employee records, benefits eligibility, organizational hierarchy, and reporting in the employee benefits domain.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,rechqfENEB1Oiq6Fl,,,,Approved,Medium,,"Free text field, descriptive name, no issues.",,,"The official designation or position held by an employee within the organization, describing their role or job function.",,,,,,,
Forms - Intake - Group Data - Phone Number,Forms - Intake - Group Data,0,Phone Number,phone_number,fldG6flpV94gT6iVa,,,"The contact phone number associated with an employee or client, used for communication purposes.",To store the primary or secondary telephone number for contact and communication.,"Used in employee benefits administration to enable contact with employees or beneficiaries for notifications, verifications, or support.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recUiXmw7yFB2SXKf,,,,Change/Revise,High,,Data type is phoneNumber but no stated format constraints or validation described. Recommend integrating format validation to ensure consistent storage.,,,"The contact phone number associated with an employee or client, used for communication purposes.",,,,,,,
Forms - Intake - Group Data - Work Email,Forms - Intake - Group Data,0,Work Email,work_email,fldGkaocFHW9J2hKe,,[],The official email address assigned to an employee for work-related communication.,To uniquely identify and contact an employee through their corporate email address.,"Used across employee management, communications, and benefits administration for reliable contact information.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recXkT0vD1eRAZ6Hq,,,,Approved,High,,Email stored as singleLineText rather than email type. Changing type to email would enforce validation and improve PII handling.,,,The official email address assigned to an employee for work-related communication.,,,,,,,
Forms - Intake - Group Data - Street Address,Forms - Intake - Group Data,0,Street Address,street_address,fld1p6oj5hvN0Buzi,,,The street address portion of an employee's or beneficiary's residential or mailing address.,"To capture the detailed street address for contact, communication, and verification purposes within employee benefits management.","Used to identify and verify the physical location of employees or beneficiaries for benefits administration, mailing correspondence, and eligibility validation.",Forms - Intake - Group Data - Street Address >  -  -  -  - Address 1 - ,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recf0oh3qEzgfshSi,,,,Approved,High,,Address parts separated; street as free text is appropriate.,,,The street address portion of an employee's or beneficiary's residential or mailing address.,,,,,,,
Forms - Intake - Group Data - City,Forms - Intake - Group Data,0,City,city,fldWcjfbGs2HqSW2I,,,The name of the city in which the employee resides or is associated with for benefits purposes.,To capture the city location of the employee for benefits administration and demographic analysis.,"Used in employee benefits management to determine location-based benefits, eligibility, and reporting.","Forms - Intake - Group Data - City >  -  -  -  - City - ,Forms - Intake - Group Data - City >  -  -  -  - city - ",,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recqmM6uQmhyp4eYs,,,Transformation Engine - Paperwork Fields - City,Approved,High,,Required component for address; consistent naming.,City,,The name of the city in which the employee resides or is associated with for benefits purposes.,,,,,,,
Forms - Intake - Group Data - State / Province,Forms - Intake - Group Data,0,State / Province,state_province,fldbioBqqCPTPVtRc,,"[{""label"": ""Alabama"", ""value"": ""alabama""}, {""label"": ""Alaska"", ""value"": ""alaska""}, {""label"": ""Arizona"", ""value"": ""arizona""}, {""label"": ""Arkansas"", ""value"": ""arkansas""}, {""label"": ""California"", ""value"": ""california""}, {""label"": ""Colorado"", ""value"": ""colorado""}, {""label"": ""Connecticut"", ""value"": ""connecticut""}, {""label"": ""Delaware"", ""value"": ""delaware""}, {""label"": ""Florida"", ""value"": ""florida""}, {""label"": ""Georgia"", ""value"": ""georgia""}, {""label"": ""Hawaii"", ""value"": ""hawaii""}, {""label"": ""Idaho"", ""value"": ""idaho""}, {""label"": ""Illinois"", ""value"": ""illinois""}, {""label"": ""Indiana"", ""value"": ""indiana""}, {""label"": ""Iowa"", ""value"": ""iowa""}, {""label"": ""Kansas"", ""value"": ""kansas""}, {""label"": ""Kentucky"", ""value"": ""kentucky""}, {""label"": ""Louisiana"", ""value"": ""louisiana""}, {""label"": ""Maine"", ""value"": ""maine""}, {""label"": ""Maryland"", ""value"": ""maryland""}, {""label"": ""Massachusetts"", ""value"": ""massachusetts""}, {""label"": ""Michigan"", ""value"": ""michigan""}, {""label"": ""Minnesota"", ""value"": ""minnesota""}, {""label"": ""Mississippi"", ""value"": ""mississippi""}, {""label"": ""Missouri"", ""value"": ""missouri""}, {""label"": ""Montana"", ""value"": ""montana""}, {""label"": ""Nebraska"", ""value"": ""nebraska""}, {""label"": ""Nevada"", ""value"": ""nevada""}, {""label"": ""New Hampshire"", ""value"": ""new_hampshire""}, {""label"": ""New Jersey"", ""value"": ""new_jersey""}, {""label"": ""New Mexico"", ""value"": ""new_mexico""}, {""label"": ""New York"", ""value"": ""new_york""}, {""label"": ""North Carolina"", ""value"": ""north_carolina""}, {""label"": ""North Dakota"", ""value"": ""north_dakota""}, {""label"": ""Ohio"", ""value"": ""ohio""}, {""label"": ""Oklahoma"", ""value"": ""oklahoma""}, {""label"": ""Oregon"", ""value"": ""oregon""}, {""label"": ""Pennsylvania"", ""value"": ""pennsylvania""}, {""label"": ""Rhode Island"", ""value"": ""rhode_island""}, {""label"": ""South Carolina"", ""value"": ""south_carolina""}, {""label"": ""South Dakota"", ""value"": ""south_dakota""}, {""label"": ""Tennessee"", ""value"": ""tennessee""}, {""label"": ""Texas"", ""value"": ""texas""}, {""label"": ""Utah"", ""value"": ""utah""}, {""label"": ""Vermont"", ""value"": ""vermont""}, {""label"": ""Virginia"", ""value"": ""virginia""}, {""label"": ""Washington"", ""value"": ""washington""}, {""label"": ""West Virginia"", ""value"": ""west_virginia""}, {""label"": ""Wisconsin"", ""value"": ""wisconsin""}, {""label"": ""Wyoming"", ""value"": ""wyoming""}, {""label"": """", ""value"": """"}, {""label"": ""District Of Columbia"", ""value"": ""district_of_columbia""}, {""label"": ""Franklin"", ""value"": ""franklin""}, {""label"": ""Nashville"", ""value"": ""nashville""}]",The U.S. state or province within the country where the employee is located or the benefit coverage applies.,To capture the geographic location at the state or province level for employee records or benefit plans.,"Used in employee benefits administration to tailor benefits offerings, compliance, and reporting by state or province.","Forms - Intake - Group Data - State / Province >  -  -  -  - State/Province - ,Forms - Intake - Group Data - State / Province >  -  -  -  - state - ",,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, , District Of Columbia, Franklin, Nashville",,,recfzN1itQfFmCkuK,,,Transformation Engine - Paperwork Fields - State,Approved,High,,"SingleSelect field has many overlapping names and some blank options; duplicates and irrelevant choices (e.g., 'Franklin', 'Nashville') require cleanup to maintain data integrity.",State,,The U.S. state or province within the country where the employee is located or the benefit coverage applies.,,,,,,,
