Name,Softr Pages,Block Name (Studio),Block ID,Softr Portals (from Softr Pages),Block Order on Page,Block Objective,Block Type,Block Template,Container (Link Softr Blocks),Source,Airtable Base,Airtable Table,Airtable View,Filtering on Load,Sorting,Search Bar,Filters,Fields,Visibility,Visibility conditions,Buttons,Buttons (with visibility condition),Form(s),Form Type,Form Fields,Status,Attachment Summary,Needs to be created,Screenshot,Calculation,Softr Buttons/Actions
benefit-plans - Prospect Portal - Benefit Plans,Prospect Portal - Benefit Plans,benefit-plans,1a2b3c4d-feda-1234-5678-90abcdef0123,Prospect Portal,1,"Houses the three tabs ""Medical"", ""Dental"", ""Vision"".",Container,Tab container,,,,,,,,,,,Logged-in users,,,,,,,,,,,5/8/2025 7:34am,
medical-plans - Prospect Portal - Benefit Plans,Prospect Portal - Benefit Plans,medical-plans,feedface-9876-5432-10ab-cdef01234567,Prospect Portal,,Quick overview of client's medical plans ,List,Columned,benefit-plans - Prospect Portal - Benefit Plans,Airtable,Forms,Intake - Plan Data,Grid View,"""Company name (from Intake - Group Data) includes exactly Logged-in user ""Company Name (from Intake - Group Data) And ""Plan Type"" is ""Medical""",Plan Number // A - Z,,,"Plan Name (Client), Deductible Single, OOPM Single",Logged-in users,,"See Details, See Rates",,,,,,,,,5/8/2025 8:35am,
dental-plans - Prospect Portal - Benefit Plans,Prospect Portal - Benefit Plans,dental-plans,aabbccdd-eeff-0011-2233-445566778899,Prospect Portal,,Quick overview of client's dental plans ,List,Columned,benefit-plans - Prospect Portal - Benefit Plans,Airtable,Forms,Intake - Plan Data,Grid View,"""Company name (from Intake - Group Data) includes exactly Logged-in user ""Company Name (from Intake - Group Data) And ""Plan Type"" is ""Dental""",Plan Number // A - Z,,,"Plan Name (Client), Deductible Individual, OOPM Single",Logged-in users,,"See Details, See Rates",,,,,,,,,5/8/2025 8:40am,
vision-plans - Prospect Portal - Benefit Plans,Prospect Portal - Benefit Plans,vision-plans,99887766-5544-3322-1100-aabbccddeeff,Prospect Portal,,Quick overview of client's vision plans ,List,Columned,benefit-plans - Prospect Portal - Benefit Plans,Airtable,Forms,Intake - Plan Data,Grid View,"""Company name (from Intake - Group Data) includes exactly Logged-in user ""Company Name (from Intake - Group Data) And ""Plan Type"" is ""Vision""",Plan Number // A - Z,,,"Plan Name (Client), Deductible Individual, OOPM Single",Logged-in users,,"See Details, See Rates",,,,,,,,,5/8/2025 8:35am,
medical-plan-details - Prospect Portal - Benefit plans Medical details,Prospect Portal - Benefit plans Medical details,medical-plan-details,cafebeef-dada-babe-face-0123456789ab,Prospect Portal,1,View details of client's medical plans, Item Details ,Stacked,,Airtable,Forms,Intake - Plan Data,,,,,,"Plan Name (Client), Carrier, Plan Type, Deductible Single, Deductible Family, OOPM Single, OOPM Family, Coinsurance, Office visit, Specialist, Urgent care, Emergency room, Rx",All Users,,,,,,,,,,,5/8/2025 8:53am,
dental-plan-details - Prospect Portal - Benefit plans Dental details,Prospect Portal - Benefit plans Dental details,dental-plan-details,deadc0de-f00d-badd-cafe-1a2b3c4d5e6f,Prospect Portal,1,View details of client's dental plans, Item Details ,Stacked,,Airtable,Forms,Intake - Plan Data,,,,,,"Plan Name (Client), Carrier, Plan Type, Annual Maximum, Deductible Individual, Deductible Family, Preventive, Basic, Major, Ortho, OON",All Users,,,,,,,,,,,5/8/2025 8:53am,
vision-plan-details - Prospect Portal - Benefit plans Vision details,Prospect Portal - Benefit plans Vision details,vision-plan-details,5f3759df-c6f8-4925-8b27-185a0399a5f1,Prospect Portal,1,View details of client's vision plans, Item Details ,Stacked,,Airtable,Forms,Intake - Plan Data,,,,,,"Plan Name (Client), Carrier, Vision Type, Exam Copy, Materials Copay, Frame Set Replacement, Contact Frequency, Frame Allowance, Lens Allowance",All Users,,,,,,,,,checked,,5/8/2025 8:53am,
forms/documents - Prospect Portal - Forms/Documents,Prospect Portal - Forms/Documents,forms/documents,6b7ddb6d-95a6-4505-b867-25918871388b,Prospect Portal,1,"House the two tabs ""Intake forms"" and ""Uploaded Documents""",Container,Tab container,,,,,,,,,,,,,,,,,,In progress,,checked,,5/8/2025 7:28am,
intake-forms-assigned - Prospect Portal - Forms/Documents,Prospect Portal - Forms/Documents,intake-forms-assigned,,Prospect Portal,2,View prospect's assigned forms,List,Expandable,forms/documents - Prospect Portal - Forms/Documents,Airtable,Forms,Assigned Forms,Grid View,"""Link to Intake - Group Data"" includes any of Logged in user ""Intake - Group Data""",Link to Available Forms // A - Z,,,Link to Available Forms,Logged-in users,,"Assign form, Open, Unassign",,Assign Form,Fillout,Available Forms	,In progress,,,Screenshot 2025-09-01 180236.png (https://v5.airtableusercontent.com/v3/u/48/48/1766426400000/p_2RkHioYmOyIQT0hPTwog/PHNHDOuB_dI_pp0RYEHcsIKS_eadkZpVLL7yexfmREKtpQeGr7GT2qmallOiGwJbcvlCs2PgxsFxIBQPok6gcl-__eUPzFnwCXMB7B6VKOfIJMjSyf0kn8JS3gzGc4zJe0zObTrCWnhdJ4SdGQycl3ywQFXyWQghw0m56otRRHNAutgWs5bG7xpNytsOHgB5/KfqDo6VMTSS_B9pR96LO36w1-96HuaT0YVaClhfi45Q),6/26/2025 3:57pm,
uploaded-documents - Prospect Portal - Forms/Documents,Prospect Portal - Forms/Documents,uploaded-documents,,Prospect Portal,3,View prospect's uploaded documents,List,Expandable,forms/documents - Prospect Portal - Forms/Documents,Airtable,Forms,Intake - Document Upload,All Fields Organized,"""Link to Intake - Group Data"" includes any of Logged in user ""Intake - Group Data""",,"Document title, file",,"Document title, File	",Logged-in users,,Upload Document,,Upload Document,Softr,"Document Tile, Document Type, File, Link to Intake - Group Data	",In progress,,,,6/26/2025 4:07pm,
solutions-catalog - Prospect Portal - Solutions Catalogue,Prospect Portal - Solutions Catalogue,solutions-catalog,,Prospect Portal,2,Quick overview of companies,List,List with small cards,,Airtable,Solutions Ecosystem,Ecosystem,Softr VC Portal,,,,,,,,,,,,,,,checked,,5/21/2025 9:52am,
welcome-message - Prospect Portal - Home,Prospect Portal - Home,welcome-message,,Prospect Portal,1,Welcome message for logged-in user,List,List with small cards,,Airtable,Forms,Users,Grid View,,,,,,Logged-in users,,,,,,,,,,,7/17/2025 6:00am,
quick-links - Prospect Portal - Home,Prospect Portal - Home,quick-links,,Prospect Portal,2,Quick links to other pages necessary for user,Quick links,Quick links,,,,,,,,,,,Logged-in users,,"Review Plans, Update Forms, Set-up Meeting, Fill Employee Survey",,,,,,,,,7/17/2025 6:05am,
company-info - Prospect Portal - company-details-tab,Prospect Portal - company-details-tab,company-info,,Prospect Portal,1,Display company info & ,Item details,Default (Item Details template),,Airtable,Forms,Intake – Group Data,All records,Filter: Company Name (Formula) = Intake – Group Data,Default,None,Conditional filters,"Company Name, other mapped fields",Default,Hide entire block if no match,,,,,,,,,,9/20/2025 3:12pm,
employee-metrics - Prospect Portal - company-details-tab,Prospect Portal - company-details-tab,employee-metrics,,Prospect Portal,,Section Header to show staff counts and projections,Hero with CTA,Hero with call to action,,,,,,,,,,,,,,,,,,,,,,9/20/2025 5:01pm,
benefit-eligibility-timing - Prospect Portal - company-details-tab,Prospect Portal - company-details-tab,benefit-eligibility-timing,,Prospect Portal,,Section Header to show waiting period and entry timing,Hero with CTA,,,Airtable,Forms,Intake – Group Data,All records,,,,,,Logged-in users,,,,,,,,,,,9/20/2025 7:51pm,
eligibility-requirements - Prospect Portal - company-details-tab,Prospect Portal - company-details-tab,eligibility-requirements,,Prospect Portal,,Section header to Show rules on who qualifies,Hero with CTA,,,,,,,,,,,,,,,,,,,,,,,9/20/2025 7:51pm,
eligibility-requirements-2 - Prospect Portal - company-details-tab,Prospect Portal - company-details-tab,eligibility-requirements-2,,Prospect Portal,,Show rules on who qualifies,Item details,,,,,,,Filter: Company Name (Formula) = Intake – Group Data,,,,,,,,,,,,,,,,9/20/2025 7:51pm,
Eligibility Info - Prospect Portal - company-details-tab,Prospect Portal - company-details-tab,Eligibility Info,,Prospect Portal,2,Display eligibility details,,,,,,,,,,,,,,,,,,,,,,,,9/22/2025 1:43am,
employee-metrics-2 - Prospect Portal - company-details-tab,Prospect Portal - company-details-tab,employee-metrics-2,,Prospect Portal,, Show staff counts and projections,Item details,,,,,,,,,,,"Eligible Employees (Current), Employees Enrolled in Medical Benefits (Est.), Projected Employee Growth",,,,,,,,,,,,9/22/2025 1:47am,
