Submitted,Coverage Tier,Overall,Options,Network,Cost,Non-Med,Retirement,Comments
2026-02-25,Employee Only,4,3,0,0,0,,
2026-01-14,Family,5,5,5,4,3,3,"Not sure if dental falls under ""Other benefits"" since it was already renewed in October, but for me having insurance with a ""maximum payout"" defeats the purpose of insurance.  I don't mind high deductibles, but I want the insurance to cover the high cost risk, say a surprise $10000 dental bill."
2026-01-14,Employee Only,4,4,4,3,4,,
2026-01-14,Employee Only,2,2,2,2,2,,
2026-01-14,Family,2,2,2,2,4,5,"As an out of state employee, my bills are usually not covered and said, ""out of network"" because I don't live in Michigan."
2026-01-14,Employee + Spouse,3,3,3,3,3,,"I'm not sure I have much to say - I don't use my benefits all that often. When I do, it seems to work the way I need it. I feel like I pay a lot out of pocket, but I think that has more to do with the plans I'm selecting. "
2026-01-14,Family,2,2,1,1,5,,"We end up paying out of pocket a lot with the current plan. It seems to be due to a variety of factors. One is because we don't have anyone in network for this plan, so (for instance) when it comes to dental we have to pay fully out of pocket because no providers accept the insurance.

Cost for the plans themselves seem to be low, but I end up probably spending as much or more when actually trying to use the benefits/medical services for me and my family."
2026-01-14,Family,4,4,5,5,4,,"As a Michigan employee, I am very happy that we are using BCBSM. This is a very important aspect of our benefit plan.
It would be great if there was some way that more comprehensive mental health benefits could be available apart from the standard health plans. The mental health providers that we use are in-network, but unless your deductible has been met, those visits are very expensive. This is probably not Blumira's problem, I think probably this is something where BCBSM needs to do better to make mental health services accessible, or society in general."
2026-01-14,Employee + Spouse,3,3,3,2,4,3,"We spend a lot on deductibles at Blumira, more than any other startup I've been a part of (and I've been part of much smaller ones). I know it can be hard to find a plan that has lower deductibles, but one of the things that past startups of mine have done to help offset these costs is prefund an HSA for individuals with the vast majority of the cost of the deductible. So maybe there's a $5k deductible, but the company prefunds $4,500 of that in an HSA. I'd love to see us do something like that."
2026-01-14,Family,5,5,5,3,5,,
2025-12-22,Employee Only,3,3,3,3,4,,
